item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Sand(10Wheel),1,8300.0,8300.0,2025-09-17,Construction,2nd Floor,73.5
Contractor Momodou Njaye Payment,1,100000.0,100000.0,2025-09-21,Construction,2nd Floor,73.6
Bucket,3,100.0,300.0,2025-09-22,Construction,2nd Floor,73.6
Binding Wire(Roll),2,500.0,1000.0,2025-09-22,Construction,2nd Floor,73.6
1 by 2 wood,20,100.0,2000.0,2025-09-24,Construction,2nd Floor,73.6
Splitting Rest of the Plywoods,1,1125.0,1125.0,2025-09-24,Construction,2nd Floor,73.6
Plywood & 1 by 2 Transport,1,800.0,800.0,2025-09-24,Construction,2nd Floor,73.6
Nail(kg) 3 in,5,100.0,500.0,2025-09-29,Construction,2nd Floor,73.6
Nail(kg) 2 in,2,100.0,200.0,2025-09-29,Construction,2nd Floor,73.6
Nail(kg) 1 in,2,100.0,200.0,2025-09-29,Construction,2nd Floor,73.6
Cement,50,480.0,24000.0,2025-09-30,Construction,2nd Floor,73.6
Cement Transport,50,20.0,1000.0,2025-09-30,Construction,2nd Floor,73.6
Momo Waggeh's Sept Salary,1,4000.0,4000.0,2025-09-30,Construction,2nd Floor,73.6
Gas for Generator,1,500.0,500.0,2025-10-01,Construction,2nd Floor,73.6
Njaye Extra- Transporting Bricks,1,5000.0,5000.0,2025-10-04,Construction,2nd Floor,73.6
For Bubacarr Faye,1,5000.0,5000.0,2025-10-09,Construction,2nd Floor,73.6
Cement,50,480.0,24000.0,2025-10-11,Construction,2nd Floor,73.6
Cement Transport,50,20.0,1000.0,2025-10-11,Construction,2nd Floor,73.6
Gas for Generator,1,400.0,400.0,2025-10-13,Construction,2nd Floor,73.6
Generator Repair,1,2700.0,2700.0,2025-10-14,Construction,2nd Floor,73.6
Generator Transport,1,600.0,600.0,2025-10-14,Construction,2nd Floor,73.6
Wheelbarrow Repair,1,800.0,800.0,2025-10-14,Construction,2nd Floor,73.6
Sand(10Wheel),1,8500.0,8500.0,2025-10-17,Construction,2nd Floor,73.6
Binding Wire(Roll),1,500.0,500.0,2025-10-17,Construction,2nd Floor,73.6
Nail(kg) 3 in,3,100.0,300.0,2025-10-17,Construction,2nd Floor,73.6
Gas for Generator,1,435.0,435.0,2025-10-19,Construction,2nd Floor,73.6
Nail(kg) 3 in,7,100.0,700.0,2025-10-20,Construction,2nd Floor,73.6
Nail(kg) 2 in,3,100.0,300.0,2025-10-20,Construction,2nd Floor,73.6
Momo Waggeh's Bed,1,2000.0,2000.0,2025-10-20,Construction,2nd Floor,73.6
Contractor Momodou Njaye Payment,1,10000.0,10000.0,2025-10-20,Construction,2nd Floor,73.6
Gas for Generator,1,440.0,440.0,2025-10-23,Construction,2nd Floor,73.6
Wheelbarrow Repair,1,1500.0,1500.0,2025-10-23,Construction,2nd Floor,73.6
Cement,25,480.0,12000.0,2025-10-24,Construction,2nd Floor,73.6
Cement Transport,25,20.0,500.0,2025-10-24,Construction,2nd Floor,73.6
Pilar Mold Rental ,3,2000.0,6000.0,2025-10-24,Construction,2nd Floor,73.6
Tank Removal ,1,5000.0,5000.0,2025-10-24,Construction,2nd Floor,73.6
Gas for Generator,1,500.0,500.0,2025-10-26,Construction,2nd Floor,74.0
Cement,25,480.0,12000.0,2025-10-27,Construction,2nd Floor,74.0
Cement Transport,25,20.0,500.0,2025-10-27,Construction,2nd Floor,74.0
Plywood 12mm,4,1725.0,6900.0,2025-10-27,Construction,2nd Floor,74.0
Cardboard ,3,350.0,1050.0,2025-10-27,Construction,2nd Floor,74.0
1 by 2 wood,4,100.0,400.0,2025-10-27,Construction,2nd Floor,74.0
Plywood & cardboard Transport,1,400.0,400.0,2025-10-27,Construction,2nd Floor,74.0
Generator Repair,1,1650.0,1650.0,2025-10-27,Construction,2nd Floor,74.0
six Pilar Iron Man,1,2500.0,2500.0,2025-10-28,Construction,2nd Floor,74.0
Momo Waggeh's Salary ,1,4000.0,4000.0,2025-10-31,Construction,2nd Floor,74.0
Workers Bathroom Plumbing Materials +Trans,1,5975.0,5975.0,2025-11-01,Construction,2nd Floor,74.0
Four Pillars Mold,3,1000.0,3000.0,2025-11-01,Construction,2nd Floor,74.0
Four Pillars Mold Transport ,2,500.0,1000.0,2025-11-01,Construction,2nd Floor,74.0
1 by 2 wood,5,100.0,500.0,2025-11-03,Construction,2nd Floor,74.0
Nail(kg) 3 in,1,100.0,100.0,2025-11-03,Construction,2nd Floor,74.0
1 by 6 Wood,2,400.0,800.0,2025-11-04,Construction,2nd Floor,74.0
Nail(kg) 3 in,3,100.0,300.0,2025-11-04,Construction,2nd Floor,74.0
Bathroom Plumbing Materials,1,500.0,500.0,2025-11-04,Construction,2nd Floor,74.0
Borehole Pile,1,2050.0,2050.0,2025-11-04,Construction,2nd Floor,74.0
Cement,25,480.0,12000.0,2025-11-04,Construction,2nd Floor,74.0
Cement Transport,25,20.0,500.0,2025-11-04,Construction,2nd Floor,74.0
Joins For Plumbing ,2,150.0,300.0,2025-11-04,Construction,2nd Floor,74.0
Tube for Plumbing(15mm),15,50.0,750.0,2025-11-04,Construction,2nd Floor,74.0
Soft Plywood ,1,1000.0,1000.0,2025-11-04,Construction,2nd Floor,74.0
Plywood Transport ,1,400.0,400.0,2025-11-04,Construction,2nd Floor,74.0
Plumber Fees,1,4500.0,4500.0,2025-11-05,Construction,2nd Floor,74.0
Wave Fees,1,120.0,120.0,2025-11-05,Construction,2nd Floor,74.0
Scarfing ,3,450.0,1350.0,2025-11-06,Construction,2nd Floor,74.0
Scarfing Transport ,1,400.0,400.0,2025-11-06,Construction,2nd Floor,74.0
1 by 2 wood,5,100.0,500.0,2025-11-07,Construction,2nd Floor,74.0
1 by 2 wood Transport ,1,300.0,300.0,2025-11-07,Construction,2nd Floor,74.0
Bathroom Manual and plastering the floor,1,2500.0,2500.0,2025-11-07,Construction,2nd Floor,74.0
Pilar Mold Rental ,4,2000.0,8000.0,2025-11-11,Construction,2nd Floor,74.0
Balcony Extension ,1,2000.0,2000.0,2025-11-14,Construction,2nd Floor,74.0
Contractor Momodou Njaye Payment,1,10000.0,10000.0,2025-11-14,Construction,2nd Floor,74.0
Bathroom Door ,1,2600.0,2600.0,2025-11-15,Construction,2nd Floor,74.0
Ali Salary ,1,5500.0,5500.0,2025-11-15,Construction,2nd Floor,74.0
Scarfing + Acro Jack,1,2994.0,2994.0,2025-11-17,Construction,2nd Floor,74.0
Scarfing + Acro Jack Transport ,1,1000.0,1000.0,2025-11-17,Construction,2nd Floor,74.0
Miss Calculation,1,500.0,500.0,2025-12-17,Construction,2nd Floor,74.0
